summonerId,summonerName,puuid,leaguePoints
zDERAcsEf2fNpbemHE7tyqhr7LPzJkeOKVsXtlQo84G3nly_z97TRsFu1Q,,oFre2D5On5sTzvrpqmshNU3ttOD6xLhOYP6owiM3csEUyg810-NIgd-irTreWFS64Ccb2gCGIoSsjw,1733
lCgCvlSyFE7z3UWtC5XHiiFe8p3E6AT3-wmfXbMOZhHGiSwuClP35PQOsA,,Vc0AQKU8e07NlqRKwPSmiyB8tABSG3QXiKVoP6oz8ZMEJ6SvTp3z5v0evsxKqA1cuKOniYFVjmEzVQ,1702
TeA8iuCoU-xLdv-CdMGYV6gQfBPvJhUC2Z_qppBdlFHVltVZs7gW0kYdxQ,,8w23ZYTfkqnA0rCqcqNXh64x_Zkr9ybF5aUbYdu5MRjr6nm0KMF2aXi28EuUJ9REM9paZkqU3q8anQ,1677
zXkT4MB_8XviFe9C_aQMc94DlvhxC-fv-4OGoNeQqW2j4xH1PAh4H6kPGQ,,VcbqtscFvids7eIVl_h5cpArZUrBM0eroTD9J02uf1USw49O5V08OZEn7WFrANxCe0_FUC6-b5NK1A,1528
BriCcX0YTcWuQqsd6kRT7nP3fiyWbuW2GABqhrb9fMfp0f2YhuCqRUJpAA,,Kjn7LjgASJqclQRYUSCaIks_YKxde4sNsurb7fcWNWJ43beBmQnKenOzynhxpSMfhXsbLAkoBLnO8g,1525
iaf_-ghtLknc0gRgV1ie4GhNBqFzmXk-HonnwTMnbDZOEN1pirs3ZJyqJw,,1KF9YK6JQc1prsXXAkSi7BaCeSRZdK9asKqvVGC6nhjtjX1XZlKjAI5cUqwlhzfsPrzBxbbJGs9a5Q,1514
V7ZAFi5_hWjn8gB_7CZkQqmah0paIyKM-J9UoJQgo-J9kWpQrN3IBn-9iw,,1BrU4OzvFPNYl93rBMuzH1uFRja457uEgBt7jaNXW1jcDAwsy78TDYC7bIkXjPBDYLLRh6Z2q2Vd7w,1501
IHUCe38EuOHpgUW7_0nnepEjGGXkUXptQIUhEFMbsPBA4rAns8Y-i5Og_g,,DsanXC7HnBT4qvO32gYcnhLS5H80hFZTUEV1tcUNbj3KIqKFIjac90vE9Q-xsG0DXW0Ar4d5q-sdmA,1481
TkQNregyRW2p_kAZeC3XqzsfZBZnq2Jx8vgmCeDDK1a7UN5CdhGndzB2Jg,,xsMy-kw7xE0lpDc3ArV1ty7uG-IPJt8uBhJYs9K7N_buTn20AwQTz-02Af2QQjb2EQVzeFnkK58zdQ,1438
hABEKL5i_wG8N6fZXXDGavbPJQjra0ysHounwHoWIP0nJ3eCn7ugAXcbOg,,Ujs426QbKY3RpDOmtb5YtxDUgOx-7KG0ILNxYwVCYkeOVo99XPdIKssRHbhKFDfNAnyTN5bxbGn3OQ,1422
